#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CDC45	MCM5	1860553	1842548	9606.ENSP00000405726	9606.ENSP00000216122	0	0	0	0	0.940	0.956	0.900	0.893	0.999
BUB3	CDC20	1854901	1849070	9606.ENSP00000357858	9606.ENSP00000308450	0	0	0	0	0.171	0.849	0.900	0.932	0.999
MCM3	MCM5	1843226	1842548	9606.ENSP00000229854	9606.ENSP00000216122	0	0	0.438	0.761	0.965	0.990	0.900	0.937	0.999
AGL	PYGB	1847500	1842631	9606.ENSP00000294724	9606.ENSP00000216962	0.309	0	0	0	0.952	0	0.942	0.623	0.999
MSH6	MLH1	1843401	1843304	9606.ENSP00000234420	9606.ENSP00000231790	0.309	0	0.486	0	0.154	0.729	0.929	0.975	0.999
AGL	PYGL	1847500	1842591	9606.ENSP00000294724	9606.ENSP00000216392	0.309	0	0	0	0.952	0	0.942	0.613	0.999
ANAPC13	ANAPC15	1853115	1843121	9606.ENSP00000346987	9606.ENSP00000227618	0	0	0	0	0	0.997	0.900	0.207	0.999
INSR	INS	1848574	1844030	9606.ENSP00000303830	9606.ENSP00000250971	0	0	0	0	0	0.866	0.900	0.978	0.999
BUB3	BUB1B	1854901	1847075	9606.ENSP00000357858	9606.ENSP00000287598	0	0	0	0	0.188	0.989	0.900	0.957	0.999
POLI	PCNA	1863718	1856984	9606.ENSP00000462664	9606.ENSP00000368438	0	0	0	0	0.092	0.986	0.900	0.654	0.999
MTOR	RPS6KB1	1854147	1843035	9606.ENSP00000354558	9606.ENSP00000225577	0	0	0	0	0.061	0.782	0.900	0.982	0.999
CYP11A1	FDX1	1845987	1844771	9606.ENSP00000268053	9606.ENSP00000260270	0.309	0	0	0	0.178	0.866	0.900	0.909	0.999
ANAPC4	ANAPC2	1850076	1849673	9606.ENSP00000318775	9606.ENSP00000314004	0	0	0	0	0.123	0.997	0.900	0.338	0.999
CDC23	ANAPC4	1858243	1850076	9606.ENSP00000378350	9606.ENSP00000318775	0	0	0	0	0.276	0.997	0.900	0.887	0.999
PRKAA1	PRKAG1	1853021	1850588	9606.ENSP00000346148	9606.ENSP00000323867	0	0	0	0	0.058	0.936	0.900	0.904	0.999
RFC1	RFC4	1857450	1847705	9606.ENSP00000371321	9606.ENSP00000296273	0	0	0	0	0.257	0.989	0.900	0.697	0.999
SERPINE1	PLAT	1842959	1842802	9606.ENSP00000223095	9606.ENSP00000220809	0.074	0	0	0	0.055	0.884	0.900	0.966	0.999
CASP9	CYCS	1851230	1848998	9606.ENSP00000330237	9606.ENSP00000307786	0	0	0	0	0	0.722	0.900	0.968	0.999
POLA1	POLE	1856974	1850463	9606.ENSP00000368349	9606.ENSP00000322570	0	0	0	0	0.952	0.833	0.900	0.755	0.999
POLD2	PCNA	1859092	1856984	9606.ENSP00000386105	9606.ENSP00000368438	0	0	0	0	0.318	0.986	0.900	0.842	0.999
CDK2	CDC6	1845906	1842453	9606.ENSP00000266970	9606.ENSP00000209728	0	0	0	0	0.336	0.987	0.900	0.900	0.999
PXN	VCL	1843137	1842472	9606.ENSP00000228307	9606.ENSP00000211998	0	0	0	0	0.048	0.933	0.900	0.969	0.999
MCM7	CDC6	1848945	1842453	9606.ENSP00000307288	9606.ENSP00000209728	0	0	0	0	0.755	0.931	0.900	0.945	0.999
MCM7	MCM3	1848945	1843226	9606.ENSP00000307288	9606.ENSP00000229854	0	0	0.440	0.797	0.965	0.989	0.900	0.956	0.999
MAP2K1	BRAF	1848411	1847131	9606.ENSP00000302486	9606.ENSP00000288602	0	0	0	0.634	0.101	0.991	0.900	0.703	0.999
CDC23	CDC16	1858243	1853313	9606.ENSP00000378350	9606.ENSP00000348554	0	0	0	0	0.182	0.997	0.900	0.953	0.999
CDC45	MCM4	1860553	1845065	9606.ENSP00000405726	9606.ENSP00000262105	0	0	0	0	0.927	0.969	0.900	0.863	0.999
ANAPC7	CDC23	1859796	1858243	9606.ENSP00000394394	9606.ENSP00000378350	0	0	0	0	0.124	0.994	0.900	0.829	0.999
ANAPC1	BUB1B	1852174	1847075	9606.ENSP00000339109	9606.ENSP00000287598	0	0	0	0	0.054	0.989	0.900	0.379	0.999
FOS	JUND	1848822	1844164	9606.ENSP00000306245	9606.ENSP00000252818	0	0	0	0	0.251	0.952	0.900	0.957	0.999
FGG	FGB	1851932	1848806	9606.ENSP00000336829	9606.ENSP00000306099	0	0	0	0.820	0.953	0.992	0.900	0.907	0.999
ANAPC7	ANAPC5	1859796	1845000	9606.ENSP00000394394	9606.ENSP00000261819	0	0	0	0	0.333	0.994	0.900	0.805	0.999
SOCS3	TCEB1	1851244	1846927	9606.ENSP00000330341	9606.ENSP00000284811	0	0	0	0	0	0.999	0.900	0.331	0.999
IRS1	INSR	1848682	1848574	9606.ENSP00000304895	9606.ENSP00000303830	0	0	0	0	0	0.901	0.900	0.980	0.999
CDC16	ANAPC10	1853313	1849254	9606.ENSP00000348554	9606.ENSP00000310071	0	0	0	0	0.094	0.997	0.900	0.841	0.999
PGK1	GAPDH	1855883	1843185	9606.ENSP00000362413	9606.ENSP00000229239	0.309	0	0	0	0.821	0.921	0.941	0.741	0.999
MTOR	AKT1	1854147	1846136	9606.ENSP00000354558	9606.ENSP00000270202	0	0	0	0	0.073	0.787	0.900	0.983	0.999
FGA	FGB	1848835	1848806	9606.ENSP00000306361	9606.ENSP00000306099	0	0	0	0.767	0.916	0.995	0.900	0.918	0.999
PCNA	RFC2	1856984	1842227	9606.ENSP00000368438	9606.ENSP00000055077	0.069	0	0	0	0.479	0.969	0.939	0.652	0.999
CDC27	ANAPC2	1861977	1849673	9606.ENSP00000434614	9606.ENSP00000314004	0	0	0	0	0.228	0.997	0.900	0.875	0.999
AKT1	PIK3CA	1846136	1845446	9606.ENSP00000270202	9606.ENSP00000263967	0	0	0	0	0.094	0.551	0.900	0.990	0.999
TNF	TNFRSF1B	1860103	1856466	9606.ENSP00000398698	9606.ENSP00000365435	0	0	0	0	0.072	0.869	0.900	0.946	0.999
RRM2	RRM1	1854033	1848209	9606.ENSP00000353770	9606.ENSP00000300738	0.309	0	0.526	0	0.970	0.900	0.940	0.976	0.999
ANAPC10	ANAPC5	1849254	1845000	9606.ENSP00000310071	9606.ENSP00000261819	0	0	0	0	0.114	0.990	0.900	0.782	0.999
PPP3CA	PPP3R1	1858236	1843394	9606.ENSP00000378323	9606.ENSP00000234310	0	0	0.243	0	0.106	0.968	0.900	0.896	0.999
FZR1	ANAPC5	1858270	1845000	9606.ENSP00000378529	9606.ENSP00000261819	0	0	0	0	0.054	0.983	0.900	0.473	0.999
CDK1	BUB1B	1858283	1847075	9606.ENSP00000378699	9606.ENSP00000287598	0	0	0	0	0.858	0.667	0.900	0.844	0.999
POLD1	PCNA	1860575	1856984	9606.ENSP00000406046	9606.ENSP00000368438	0	0	0	0	0.292	0.942	0.900	0.861	0.999
BUB1B	ANAPC5	1847075	1845000	9606.ENSP00000287598	9606.ENSP00000261819	0	0	0	0	0.233	0.989	0.900	0.172	0.999
FOS	JUNB	1848822	1848518	9606.ENSP00000306245	9606.ENSP00000303315	0	0	0	0	0.781	0.848	0.900	0.876	0.999
ANAPC2	ANAPC10	1849673	1849254	9606.ENSP00000314004	9606.ENSP00000310071	0	0	0	0	0.056	0.997	0.900	0.639	0.999
TPI1	GAPDH	1843191	1843185	9606.ENSP00000229270	9606.ENSP00000229239	0.309	0.094	0	0	0.870	0.774	0.947	0.808	0.999
CDC16	MAD2L1	1853313	1847745	9606.ENSP00000348554	9606.ENSP00000296509	0	0	0	0	0.104	0.984	0.900	0.504	0.999
CDC27	ANAPC1	1861977	1852174	9606.ENSP00000434614	9606.ENSP00000339109	0	0	0	0	0.182	0.989	0.900	0.671	0.999
PIK3CG	AKT1	1853801	1846136	9606.ENSP00000352121	9606.ENSP00000270202	0	0	0	0	0.094	0.328	0.900	0.990	0.999
APAF1	CASP9	1862487	1851230	9606.ENSP00000448165	9606.ENSP00000330237	0	0	0	0	0.052	0.931	0.900	0.972	0.999
XIAP	CASP3	1853225	1849375	9606.ENSP00000347858	9606.ENSP00000311032	0	0	0	0	0.054	0.971	0.900	0.917	0.999
IKBKB	NFKB1	1861846	1843094	9606.ENSP00000430684	9606.ENSP00000226574	0	0	0	0	0.054	0.922	0.900	0.907	0.999
PLK1	CCNB1	1848135	1844435	9606.ENSP00000300093	9606.ENSP00000256442	0	0	0	0	0.928	0.660	0.900	0.930	0.999
EGFR	EGF	1846445	1845705	9606.ENSP00000275493	9606.ENSP00000265171	0	0	0	0	0	0.875	0.900	0.978	0.999
ANAPC4	BUB1B	1850076	1847075	9606.ENSP00000318775	9606.ENSP00000287598	0	0	0	0	0.270	0.997	0.900	0.062	0.999
CDC16	ANAPC1	1853313	1852174	9606.ENSP00000348554	9606.ENSP00000339109	0	0	0	0	0.118	0.972	0.900	0.671	0.999
BCL2L11	BCL2	1858084	1851168	9606.ENSP00000376943	9606.ENSP00000329623	0	0	0	0	0	0.885	0.900	0.920	0.999
RFC5	RFC4	1860712	1847705	9606.ENSP00000408295	9606.ENSP00000296273	0	0	0.425	0.885	0.924	0.989	0.900	0.849	0.999
TF	TFRC	1859071	1853957	9606.ENSP00000385834	9606.ENSP00000353224	0	0	0	0	0.053	0.866	0.900	0.967	0.999
PCNA	CDK2	1856984	1845906	9606.ENSP00000368438	9606.ENSP00000266970	0	0	0	0	0.730	0.788	0.900	0.928	0.999
MCM5	CDC6	1842548	1842453	9606.ENSP00000216122	9606.ENSP00000209728	0	0	0	0	0.813	0.943	0.900	0.847	0.999
CDC45	MCM3	1860553	1843226	9606.ENSP00000405726	9606.ENSP00000229854	0	0	0	0	0.871	0.989	0.900	0.893	0.999
